"Frequency of sending report email","Frequency of report emails"
"Report email template","Report email template"
"Refer Friend Email Template","Refer Friend Email Template"
"Affiliate Discount","Affiliate Discount"
"Date Created","Date Created"
"Order Status","Order Status"
"Order Subtotal","Order Subtotal"
"There is no affiliate with email address %s. Please enter a different one.", "There is no affiliate with email address %s. Please enter a different one."
"There is no affiliate account with this email address. Please enter a different one.","There is no affiliate account with this email address. Please enter a different one."
"Documents and Help","Documents and Help"
"Affiliate Plus Installation","Affiliate Plus Installation"
"Affiliate Plus Installation Guide","Affiliate Plus Installation Guide"
"Affiliate Plus Plugin Installation Guide","Affiliate Plus Plugin Installation Guide"
"Affiliate Plus User Guide","Affiliate Plus User Guide"
"Affiliate Plus Standard User Guide","Affiliate Plus Standard User Guide"
"Affiliate Plus Payment User Guide","Affiliate Plus Payment User Guide"
"Advanced Banner Configuration","Advanced Banner Configuration"
"Enable Advanced Banner Plugin","Enable Advanced Banner Plugin"
"Affiliate Plus Advanced Banner User Guide","Affiliate Plus Advanced Banner User Guide"
"Affiliate Plus Commission by Level User Guide","Affiliate Plus Commission by Level User Guide"
"Commission by Level Configuration","Commission by Level Configuration"
"Affiliate Plus Coupon Code User Guide","Affiliate Plus Coupon Code User Guide"
"Terms and Conditions","Terms and Conditions"
"The higher the atomic number, the higher the priority.","The higher the atomic number, the higher the priority."
"Leave blank for not showing Terms and Conditions","Leave blank for not showing Terms and Conditions"
"If you have not had an affiliate account yet, please choose Signup to create a new account quickly.","If you have not had an affiliate account yet, please choose Signup to create a new account quickly."
"Auto create Affiliate account when Customer registers","Auto create Affiliate account when Customer registers"
"Used to send emails from system to affiliates. If blank, affiliate system will use general store email address.","Used to send emails from system to affiliates. If blank, affiliate system will use general store email address."
"Afffiliate URL Parameter","Afffiliate URL Parameter"
"Leave blank for default value (acc)","Leave blank for default value (acc)"
"Value Type of Afffiliate URL Parameter","Value Type of Afffiliate URL Parameter"
"Unhold Transactions","Unhold Transactions"
"Style Configuration","Style Configuration"
"Responsive Theme","Responsive Theme"
"Enable Responsive Theme","Enable Responsive Theme"
"General Style","General Style"
"Background Color for affiliate's pages","Background Color for affiliate's pages"
"Background Color for titles","Background Color for titles"
"Text Color for titles","Text Color for titles"
"Background Color for sub-titles","Background Color for sub-titles"
"Text Color for sub-titles","Text Color for sub-titles"
"Background Color for Social Share buttons","Background Color for Social Share buttons"
"Text Color for Social Share buttons","Text Color for Social Share buttons"
"Left Navigation Style","Left Navigation Style"
"Background Color for inactive tabs","Background Color for inactive tabs"
"Background Color for active tabs","Background Color for active tabs"
"Text Color for active tabs","Text Color for active tabs"
"Font size for tab names","Font size for tab names"
"Popup Style","Popup Style"
"Background Color for body","Background Color for body"
"Background Color for title","Background Color for title"
"Text Color for title","Text Color for title"
"Button Style (on the Affiliate Home page)","Button Style (on the Affiliate Home page)"
"Background Color for Login button","Background Color for Login button"
"Background Color for Signup button","Background Color for Signup button"
"Background Color for Contact button","Background Color for Contact button"
"Referring Website","Referring Website"
"Email Template Files","Email Template Files"
"Show on My account/ Affiliate Menu", "Show on My account/ Affiliate Menu"
"Sub Store Url","Sub Store Url"
"List Lifetime Customer","List Lifetime Customer"
"Update Balance Transactions", "Update Balance Transactions"
"Affiliate Page Shop", "Affiliate Page Shop"
"You cannot add this product to your substore", "You cannot add this product to your substore"
"The product has been added to your substore successfully.", "The product has been added to your substore successfully."
"Allow affiliate to get commission from his purchase", "Allow affiliate to get commission from his purchase"
"Clicks (unique/raw)", "Clicks (unique/raw)"
"Impressions (unique/ raw)", "Impressions (unique/ raw)"
